FEATURE,SATISFACTION_WEIGHT,DISSATISFACTION_WEIGHT,QUARTERLY_PERIODS,COUNTRY,WEIGHT_PER_PERSON,RESTAURANT_NAME,CITY,BOOKING_CHANNEL,RESTAURANT_BRAND,AGE,AGE_BREAKS,GENDER,RESERVATION_TYPE,ORDER_TYPE,UNIQUE_ID
Service Speed,7769.42076,0.0,2024Q3,DE,7769.42076,Burger King Berlin #98,Berlin,Deliveroo,Burger King,23,18-24,Male,Reserved,Delivery,13
Location & Accessibility,4052.61166,0.0,2024Q2,UK,4052.61166,McDonald's London #49,London,OpenTable,McDonald's,41,35-45,Female,Reserved,Eat In,14
Customer Service,6268.25167,0.0,2024Q2,IT,6268.25167,Burger King Rome #56,Rome,RestaurantWebsite,Burger King,31,25-34,Female,Reserved,Delivery,15
Reservation System,6268.25167,0.0,2024Q2,IT,0.0,Burger King Rome #56,Rome,RestaurantWebsite,Burger King,31,25-34,Female,Reserved,Delivery,15
Menu Variety,6268.25167,0.0,2024Q2,IT,0.0,Burger King Rome #56,Rome,RestaurantWebsite,Burger King,31,25-34,Female,Reserved,Delivery,15
Hygiene & Cleanliness,6268.25167,0.0,2024Q2,IT,0.0,Burger King Rome #56,Rome,RestaurantWebsite,Burger King,31,25-34,Female,Reserved,Delivery,15
Customer Service,7556.62111,0.0,2024Q2,US,7556.62111,Subway New York #23,New York,OpenTable,Subway,66,65+,Female,Reserved,Eat In,16
Special Features or Experiences,7556.62111,0.0,2024Q2,US,0.0,Subway New York #23,New York,OpenTable,Subway,66,65+,Female,Reserved,Eat In,16
Ambience,7556.62111,0.0,2024Q2,US,0.0,Subway New York #23,New York,OpenTable,Subway,66,65+,Female,Reserved,Eat In,16
Pricing,9657.77708,0.0,2024Q3,IT,9657.77708,Chipotle Rome #2,Rome,JustEat,Chipotle,23,18-24,Male,Reserved,Delivery,17
Location & Accessibility,9657.77708,0.0,2024Q3,IT,0.0,Chipotle Rome #2,Rome,JustEat,Chipotle,23,18-24,Male,Reserved,Delivery,17
Ambience,9657.77708,0.0,2024Q3,IT,0.0,Chipotle Rome #2,Rome,JustEat,Chipotle,23,18-24,Male,Reserved,Delivery,17
Service Speed,9657.77708,0.0,2024Q3,IT,0.0,Chipotle Rome #2,Rome,JustEat,Chipotle,23,18-24,Male,Reserved,Delivery,17
Hygiene & Cleanliness,2677.97325,0.0,2024Q3,UK,2677.97325,KFC London #83,London,Deliveroo,KFC,57,55-64,Male,Reserved,Delivery,18
Reservation System,2677.97325,0.0,2024Q3,UK,0.0,KFC London #83,London,Deliveroo,KFC,57,55-64,Male,Reserved,Delivery,18
Customer Service,0.0,1983.06843,2024Q3,US,1983.06843,KFC New York #96,New York,Deliveroo,KFC,37,35-45,Male,Reserved,Delivery,19
Customer Service,7245.19072,0.0,2024Q2,UK,7245.19072,Chipotle London #53,London,UberEats,Chipotle,34,25-34,Female,Reserved,Delivery,20
Location & Accessibility,7245.19072,0.0,2024Q2,UK,0.0,Chipotle London #53,London,UberEats,Chipotle,34,25-34,Female,Reserved,Delivery,20
Service Speed,7245.19072,0.0,2024Q2,UK,0.0,Chipotle London #53,London,UberEats,Chipotle,34,25-34,Female,Reserved,Delivery,20
Special Features or Experiences,7245.19072,0.0,2024Q2,UK,0.0,Chipotle London #53,London,UberEats,Chipotle,34,25-34,Female,Reserved,Delivery,20
Special Features or Experiences,6094.55969,0.0,2024Q2,IT,6094.55969,KFC Rome #27,Rome,JustEat,KFC,28,25-34,Female,Reserved,Delivery,21
Food Quality,6094.55969,0.0,2024Q2,IT,0.0,KFC Rome #27,Rome,JustEat,KFC,28,25-34,Female,Reserved,Delivery,21
Ambience,0.0,2733.75347,2024Q2,UK,2733.75347,Subway London #35,London,RestaurantWebsite,Subway,25,25-34,Female,Walk-In,Takeout,22
Pricing,0.0,2733.75347,2024Q2,UK,0.0,Subway London #35,London,RestaurantWebsite,Subway,25,25-34,Female,Walk-In,Takeout,22
Service Speed,0.0,2733.75347,2024Q2,UK,0.0,Subway London #35,London,RestaurantWebsite,Subway,25,25-34,Female,Walk-In,Takeout,22
Menu Variety,0.0,2733.75347,2024Q2,UK,0.0,Subway London #35,London,RestaurantWebsite,Subway,25,25-34,Female,Walk-In,Takeout,22
Hygiene & Cleanliness,2450.04627,0.0,2024Q3,UK,2450.04627,Subway London #100,London,RestaurantWebsite,Subway,25,25-34,Male,Reserved,Delivery,23
Reservation System,2450.04627,0.0,2024Q3,UK,0.0,Subway London #100,London,RestaurantWebsite,Subway,25,25-34,Male,Reserved,Delivery,23
Customer Service,2450.04627,0.0,2024Q3,UK,0.0,Subway London #100,London,RestaurantWebsite,Subway,25,25-34,Male,Reserved,Delivery,23
Food Quality,6193.04918,0.0,2024Q3,DE,6193.04918,KFC Berlin #82,Berlin,RestaurantWebsite,KFC,20,18-24,Male,Walk-In,Eat In,24
Hygiene & Cleanliness,6193.04918,0.0,2024Q3,DE,0.0,KFC Berlin #82,Berlin,RestaurantWebsite,KFC,20,18-24,Male,Walk-In,Eat In,24
Location & Accessibility,7435.99679,0.0,2024Q2,DE,7435.99679,McDonald's Berlin #44,Berlin,OpenTable,McDonald's,87,65+,Female,Reserved,Eat In,25
Pricing,6539.47513,0.0,2024Q3,FR,6539.47513,McDonald's Paris #34,Paris,UberEats,McDonald's,57,55-64,Male,Reserved,Delivery,26
Pricing,0.0,9110.93742,2024Q2,DE,9110.93742,Subway Berlin #82,Berlin,OpenTable,Subway,19,18-24,Male,Reserved,Eat In,27
Service Speed,0.0,9110.93742,2024Q2,DE,0.0,Subway Berlin #82,Berlin,OpenTable,Subway,19,18-24,Male,Reserved,Eat In,27
Menu Variety,0.0,9110.93742,2024Q2,DE,0.0,Subway Berlin #82,Berlin,OpenTable,Subway,19,18-24,Male,Reserved,Eat In,27
Pricing,2660.02398,0.0,2024Q2,ES,2660.02398,Subway Madrid #21,Madrid,OpenTable,Subway,60,55-64,Male,Reserved,Eat In,28
Hygiene & Cleanliness,2660.02398,0.0,2024Q2,ES,0.0,Subway Madrid #21,Madrid,OpenTable,Subway,60,55-64,Male,Reserved,Eat In,28
Reservation System,2660.02398,0.0,2024Q2,ES,0.0,Subway Madrid #21,Madrid,OpenTable,Subway,60,55-64,Male,Reserved,Eat In,28
Menu Variety,2660.02398,0.0,2024Q2,ES,0.0,Subway Madrid #21,Madrid,OpenTable,Subway,60,55-64,Male,Reserved,Eat In,28
Service Speed,2493.63824,0.0,2024Q3,UK,2493.63824,Chipotle London #100,London,UberEats,Chipotle,59,55-64,Male,Reserved,Delivery,29
Menu Variety,6891.67968,0.0,2024Q3,US,6891.67968,KFC New York #43,New York,UberEats,KFC,25,25-34,Male,Reserved,Delivery,30
Reservation System,6891.67968,0.0,2024Q3,US,0.0,KFC New York #43,New York,UberEats,KFC,25,25-34,Male,Reserved,Delivery,30
Customer Service,6891.67968,0.0,2024Q3,US,0.0,KFC New York #43,New York,UberEats,KFC,25,25-34,Male,Reserved,Delivery,30
Special Features or Experiences,6891.67968,0.0,2024Q3,US,0.0,KFC New York #43,New York,UberEats,KFC,25,25-34,Male,Reserved,Delivery,30
Customer Service,1191.13565,0.0,2024Q3,IT,1191.13565,Burger King Rome #62,Rome,Deliveroo,Burger King,61,55-64,Male,Reserved,Delivery,31
Reservation System,1191.13565,0.0,2024Q3,IT,0.0,Burger King Rome #62,Rome,Deliveroo,Burger King,61,55-64,Male,Reserved,Delivery,31
Food Quality,1191.13565,0.0,2024Q3,IT,0.0,Burger King Rome #62,Rome,Deliveroo,Burger King,61,55-64,Male,Reserved,Delivery,31
Menu Variety,1191.13565,0.0,2024Q3,IT,0.0,Burger King Rome #62,Rome,Deliveroo,Burger King,61,55-64,Male,Reserved,Delivery,31
Customer Service,8876.38649,0.0,2024Q3,ES,8876.38649,KFC Madrid #66,Madrid,Deliveroo,KFC,76,65+,Female,Reserved,Delivery,32
Location & Accessibility,8876.38649,0.0,2024Q3,ES,0.0,KFC Madrid #66,Madrid,Deliveroo,KFC,76,65+,Female,Reserved,Delivery,32
Location & Accessibility,0.0,4389.64739,2024Q3,DE,4389.64739,Chipotle Berlin #47,Berlin,UberEats,Chipotle,55,55-64,Male,Reserved,Delivery,33
Service Speed,0.0,4389.64739,2024Q3,DE,0.0,Chipotle Berlin #47,Berlin,UberEats,Chipotle,55,55-64,Male,Reserved,Delivery,33
Menu Variety,0.0,4389.64739,2024Q3,DE,0.0,Chipotle Berlin #47,Berlin,UberEats,Chipotle,55,55-64,Male,Reserved,Delivery,33
Hygiene & Cleanliness,0.0,4389.64739,2024Q3,DE,0.0,Chipotle Berlin #47,Berlin,UberEats,Chipotle,55,55-64,Male,Reserved,Delivery,33
Service Speed,0.0,7884.7699,2024Q2,US,7884.7699,KFC New York #1,New York,Deliveroo,KFC,27,25-34,Female,Reserved,Delivery,34
Location & Accessibility,0.0,7884.7699,2024Q2,US,0.0,KFC New York #1,New York,Deliveroo,KFC,27,25-34,Female,Reserved,Delivery,34
Food Quality,0.0,7884.7699,2024Q2,US,0.0,KFC New York #1,New York,Deliveroo,KFC,27,25-34,Female,Reserved,Delivery,34
Customer Service,0.0,7884.7699,2024Q2,US,0.0,KFC New York #1,New York,Deliveroo,KFC,27,25-34,Female,Reserved,Delivery,34
Food Quality,0.0,3124.04231,2024Q2,UK,3124.04231,Burger King London #7,London,JustEat,Burger King,57,55-64,Male,Reserved,Delivery,35
Special Features or Experiences,0.0,3124.04231,2024Q2,UK,0.0,Burger King London #7,London,JustEat,Burger King,57,55-64,Male,Reserved,Delivery,35
Special Features or Experiences,0.0,2952.27877,2024Q2,ES,2952.27877,Burger King Madrid #30,Madrid,JustEat,Burger King,56,55-64,Female,Reserved,Delivery,36
Menu Variety,0.0,2952.27877,2024Q2,ES,0.0,Burger King Madrid #30,Madrid,JustEat,Burger King,56,55-64,Female,Reserved,Delivery,36
Hygiene & Cleanliness,2652.48281,0.0,2024Q2,US,2652.48281,Burger King New York #24,New York,OpenTable,Burger King,43,35-45,Male,Reserved,Eat In,37
Special Features or Experiences,5393.22501,0.0,2024Q2,DE,5393.22501,Subway Berlin #10,Berlin,Deliveroo,Subway,34,25-34,Female,Reserved,Delivery,38
Hygiene & Cleanliness,5393.22501,0.0,2024Q2,DE,0.0,Subway Berlin #10,Berlin,Deliveroo,Subway,34,25-34,Female,Reserved,Delivery,38
Ambience,5393.22501,0.0,2024Q2,DE,0.0,Subway Berlin #10,Berlin,Deliveroo,Subway,34,25-34,Female,Reserved,Delivery,38
Menu Variety,5393.22501,0.0,2024Q2,DE,0.0,Subway Berlin #10,Berlin,Deliveroo,Subway,34,25-34,Female,Reserved,Delivery,38
Ambience,0.0,8889.78391,2024Q2,DE,8889.78391,Chipotle Berlin #23,Berlin,Deliveroo,Chipotle,42,35-45,Female,Reserved,Delivery,39
Customer Service,0.0,4609.93773,2024Q3,FR,4609.93773,Burger King Paris #56,Paris,OpenTable,Burger King,29,25-34,Female,Reserved,Eat In,40
Pricing,9992.46952,0.0,2024Q2,UK,9992.46952,Subway London #56,London,UberEats,Subway,80,65+,Male,Reserved,Delivery,41
Food Quality,9992.46952,0.0,2024Q2,UK,0.0,Subway London #56,London,UberEats,Subway,80,65+,Male,Reserved,Delivery,41
Menu Variety,0.0,5837.27205,2024Q2,FR,5837.27205,Subway Paris #27,Paris,Deliveroo,Subway,30,25-34,Male,Reserved,Delivery,42
Pricing,0.0,5837.27205,2024Q2,FR,0.0,Subway Paris #27,Paris,Deliveroo,Subway,30,25-34,Male,Reserved,Delivery,42
Ambience,0.0,5837.27205,2024Q2,FR,0.0,Subway Paris #27,Paris,Deliveroo,Subway,30,25-34,Male,Reserved,Delivery,42
Food Quality,0.0,8190.29199,2024Q3,ES,8190.29199,KFC Madrid #58,Madrid,OpenTable,KFC,21,18-24,Female,Reserved,Eat In,43
Menu Variety,0.0,8190.29199,2024Q3,ES,0.0,KFC Madrid #58,Madrid,OpenTable,KFC,21,18-24,Female,Reserved,Eat In,43
Food Quality,7493.52172,0.0,2024Q3,FR,7493.52172,KFC Paris #65,Paris,RestaurantWebsite,KFC,25,25-34,Male,Walk-In,Takeout,44
Menu Variety,7493.52172,0.0,2024Q3,FR,0.0,KFC Paris #65,Paris,RestaurantWebsite,KFC,25,25-34,Male,Walk-In,Takeout,44
Service Speed,8071.79828,0.0,2024Q3,IT,8071.79828,Chipotle Rome #74,Rome,Deliveroo,Chipotle,33,25-34,Male,Reserved,Delivery,45
Hygiene & Cleanliness,8071.79828,0.0,2024Q3,IT,0.0,Chipotle Rome #74,Rome,Deliveroo,Chipotle,33,25-34,Male,Reserved,Delivery,45
Menu Variety,9000.19682,0.0,2024Q2,UK,9000.19682,Subway London #95,London,JustEat,Subway,35,35-45,Male,Reserved,Delivery,46
Ambience,1489.76812,0.0,2024Q3,DE,1489.76812,Subway Berlin #36,Berlin,UberEats,Subway,56,55-64,Male,Reserved,Delivery,47
Service Speed,1489.76812,0.0,2024Q3,DE,0.0,Subway Berlin #36,Berlin,UberEats,Subway,56,55-64,Male,Reserved,Delivery,47
Location & Accessibility,1489.76812,0.0,2024Q3,DE,0.0,Subway Berlin #36,Berlin,UberEats,Subway,56,55-64,Male,Reserved,Delivery,47
Special Features or Experiences,1489.76812,0.0,2024Q3,DE,0.0,Subway Berlin #36,Berlin,UberEats,Subway,56,55-64,Male,Reserved,Delivery,47
Service Speed,8170.43562,0.0,2024Q2,UK,8170.43562,Subway London #10,London,OpenTable,Subway,32,25-34,Male,Reserved,Eat In,48
Reservation System,4402.98464,0.0,2024Q3,ES,4402.98464,KFC Madrid #83,Madrid,JustEat,KFC,30,25-34,Female,Reserved,Delivery,49
Service Speed,4402.98464,0.0,2024Q3,ES,0.0,KFC Madrid #83,Madrid,JustEat,KFC,30,25-34,Female,Reserved,Delivery,49
Food Quality,2506.26671,0.0,2024Q2,IT,2506.26671,Burger King Rome #23,Rome,Deliveroo,Burger King,69,65+,Male,Reserved,Delivery,50
Ambience,2506.26671,0.0,2024Q2,IT,0.0,Burger King Rome #23,Rome,Deliveroo,Burger King,69,65+,Male,Reserved,Delivery,50
Ambience,9814.51231,0.0,2024Q2,FR,9814.51231,KFC Paris #56,Paris,RestaurantWebsite,KFC,63,55-64,Male,Walk-In,Takeout,51
Special Features or Experiences,9814.51231,0.0,2024Q2,FR,0.0,KFC Paris #56,Paris,RestaurantWebsite,KFC,63,55-64,Male,Walk-In,Takeout,51
Pricing,9814.51231,0.0,2024Q2,FR,0.0,KFC Paris #56,Paris,RestaurantWebsite,KFC,63,55-64,Male,Walk-In,Takeout,51
Pricing,5972.85583,0.0,2024Q3,ES,5972.85583,Chipotle Madrid #28,Madrid,Deliveroo,Chipotle,40,35-45,Male,Reserved,Delivery,52
Ambience,5972.85583,0.0,2024Q3,ES,0.0,Chipotle Madrid #28,Madrid,Deliveroo,Chipotle,40,35-45,Male,Reserved,Delivery,52
Special Features or Experiences,5972.85583,0.0,2024Q3,ES,0.0,Chipotle Madrid #28,Madrid,Deliveroo,Chipotle,40,35-45,Male,Reserved,Delivery,52
Hygiene & Cleanliness,5415.06456,0.0,2024Q2,ES,5415.06456,Subway Madrid #72,Madrid,Deliveroo,Subway,42,35-45,Female,Reserved,Delivery,53
Service Speed,5415.06456,0.0,2024Q2,ES,0.0,Subway Madrid #72,Madrid,Deliveroo,Subway,42,35-45,Female,Reserved,Delivery,53
Food Quality,5415.06456,0.0,2024Q2,ES,0.0,Subway Madrid #72,Madrid,Deliveroo,Subway,42,35-45,Female,Reserved,Delivery,53
Food Quality,0.0,4949.31309,2024Q2,US,4949.31309,Burger King New York #10,New York,Deliveroo,Burger King,82,65+,Female,Reserved,Delivery,54
Service Speed,0.0,4949.31309,2024Q2,US,0.0,Burger King New York #10,New York,Deliveroo,Burger King,82,65+,Female,Reserved,Delivery,54
Hygiene & Cleanliness,0.0,4949.31309,2024Q2,US,0.0,Burger King New York #10,New York,Deliveroo,Burger King,82,65+,Female,Reserved,Delivery,54
Pricing,0.0,4949.31309,2024Q2,US,0.0,Burger King New York #10,New York,Deliveroo,Burger King,82,65+,Female,Reserved,Delivery,54
Food Quality,0.0,5626.11372,2024Q2,DE,5626.11372,Chipotle Berlin #24,Berlin,RestaurantWebsite,Chipotle,81,65+,Male,Reserved,Eat In,55
Menu Variety,0.0,5626.11372,2024Q2,DE,0.0,Chipotle Berlin #24,Berlin,RestaurantWebsite,Chipotle,81,65+,Male,Reserved,Eat In,55
Menu Variety,7776.97325,0.0,2024Q3,ES,7776.97325,McDonald's Madrid #56,Madrid,OpenTable,McDonald's,68,65+,Male,Reserved,Eat In,56
Ambience,2584.23614,0.0,2024Q3,DE,2584.23614,Subway Berlin #57,Berlin,OpenTable,Subway,20,18-24,Male,Reserved,Eat In,57
Customer Service,2584.23614,0.0,2024Q3,DE,0.0,Subway Berlin #57,Berlin,OpenTable,Subway,20,18-24,Male,Reserved,Eat In,57
Special Features or Experiences,2584.23614,0.0,2024Q3,DE,0.0,Subway Berlin #57,Berlin,OpenTable,Subway,20,18-24,Male,Reserved,Eat In,57
Location & Accessibility,2584.23614,0.0,2024Q3,DE,0.0,Subway Berlin #57,Berlin,OpenTable,Subway,20,18-24,Male,Reserved,Eat In,57
Reservation System,0.0,5188.9804,2024Q2,DE,5188.9804,Subway Berlin #85,Berlin,JustEat,Subway,23,18-24,Female,Reserved,Delivery,58
Food Quality,0.0,5188.9804,2024Q2,DE,0.0,Subway Berlin #85,Berlin,JustEat,Subway,23,18-24,Female,Reserved,Delivery,58
Location & Accessibility,0.0,5188.9804,2024Q2,DE,0.0,Subway Berlin #85,Berlin,JustEat,Subway,23,18-24,Female,Reserved,Delivery,58
Pricing,0.0,5188.9804,2024Q2,DE,0.0,Subway Berlin #85,Berlin,JustEat,Subway,23,18-24,Female,Reserved,Delivery,58
Location & Accessibility,6838.74261,0.0,2024Q2,UK,6838.74261,Chipotle London #79,London,RestaurantWebsite,Chipotle,89,65+,Female,Reserved,Delivery,59
Ambience,6838.74261,0.0,2024Q2,UK,0.0,Chipotle London #79,London,RestaurantWebsite,Chipotle,89,65+,Female,Reserved,Delivery,59
Ambience,0.0,4880.19878,2024Q3,UK,4880.19878,Subway London #13,London,Deliveroo,Subway,88,65+,Female,Reserved,Delivery,60
Menu Variety,0.0,4880.19878,2024Q3,UK,0.0,Subway London #13,London,Deliveroo,Subway,88,65+,Female,Reserved,Delivery,60
Location & Accessibility,0.0,4880.19878,2024Q3,UK,0.0,Subway London #13,London,Deliveroo,Subway,88,65+,Female,Reserved,Delivery,60
Special Features or Experiences,0.0,4880.19878,2024Q3,UK,0.0,Subway London #13,London,Deliveroo,Subway,88,65+,Female,Reserved,Delivery,60
Service Speed,7562.36217,0.0,2024Q2,ES,7562.36217,KFC Madrid #46,Madrid,OpenTable,KFC,38,35-45,Male,Reserved,Eat In,61
Customer Service,7562.36217,0.0,2024Q2,ES,0.0,KFC Madrid #46,Madrid,OpenTable,KFC,38,35-45,Male,Reserved,Eat In,61
Pricing,7562.36217,0.0,2024Q2,ES,0.0,KFC Madrid #46,Madrid,OpenTable,KFC,38,35-45,Male,Reserved,Eat In,61
Food Quality,7562.36217,0.0,2024Q2,ES,0.0,KFC Madrid #46,Madrid,OpenTable,KFC,38,35-45,Male,Reserved,Eat In,61
Pricing,3073.6423,0.0,2024Q3,DE,3073.6423,Subway Berlin #86,Berlin,OpenTable,Subway,29,25-34,Female,Reserved,Eat In,62
Customer Service,3073.6423,0.0,2024Q3,DE,0.0,Subway Berlin #86,Berlin,OpenTable,Subway,29,25-34,Female,Reserved,Eat In,62
Menu Variety,3073.6423,0.0,2024Q3,DE,0.0,Subway Berlin #86,Berlin,OpenTable,Subway,29,25-34,Female,Reserved,Eat In,62
Customer Service,4051.66826,0.0,2024Q2,UK,4051.66826,KFC London #78,London,RestaurantWebsite,KFC,24,18-24,Male,Walk-In,Takeout,63
Reservation System,4196.71546,0.0,2024Q2,UK,4196.71546,Chipotle London #71,London,Deliveroo,Chipotle,68,65+,Female,Reserved,Delivery,64
Food Quality,4196.71546,0.0,2024Q2,UK,0.0,Chipotle London #71,London,Deliveroo,Chipotle,68,65+,Female,Reserved,Delivery,64
Service Speed,4196.71546,0.0,2024Q2,UK,0.0,Chipotle London #71,London,Deliveroo,Chipotle,68,65+,Female,Reserved,Delivery,64
Reservation System,0.0,4886.99345,2024Q2,IT,4886.99345,Burger King Rome #50,Rome,RestaurantWebsite,Burger King,60,55-64,Female,Walk-In,Takeout,65
Customer Service,0.0,8931.0647,2024Q2,UK,8931.0647,KFC London #6,London,JustEat,KFC,42,35-45,Female,Reserved,Delivery,66
Hygiene & Cleanliness,0.0,8931.0647,2024Q2,UK,0.0,KFC London #6,London,JustEat,KFC,42,35-45,Female,Reserved,Delivery,66
Food Quality,7339.2865,0.0,2024Q3,US,7339.2865,KFC New York #93,New York,OpenTable,KFC,63,55-64,Female,Reserved,Eat In,67
Location & Accessibility,1794.16537,0.0,2024Q3,DE,1794.16537,Subway Berlin #77,Berlin,RestaurantWebsite,Subway,86,65+,Male,Walk-In,Eat In,68
Ambience,1794.16537,0.0,2024Q3,DE,0.0,Subway Berlin #77,Berlin,RestaurantWebsite,Subway,86,65+,Male,Walk-In,Eat In,68
Hygiene & Cleanliness,1794.16537,0.0,2024Q3,DE,0.0,Subway Berlin #77,Berlin,RestaurantWebsite,Subway,86,65+,Male,Walk-In,Eat In,68
Reservation System,5180.45757,0.0,2024Q3,US,5180.45757,Subway New York #31,New York,UberEats,Subway,21,18-24,Female,Reserved,Delivery,69
Service Speed,5180.45757,0.0,2024Q3,US,0.0,Subway New York #31,New York,UberEats,Subway,21,18-24,Female,Reserved,Delivery,69
Food Quality,5180.45757,0.0,2024Q3,US,0.0,Subway New York #31,New York,UberEats,Subway,21,18-24,Female,Reserved,Delivery,69
Service Speed,6139.7368,0.0,2024Q2,UK,6139.7368,McDonald's London #7,London,JustEat,McDonald's,62,55-64,Female,Reserved,Delivery,70
Hygiene & Cleanliness,6139.7368,0.0,2024Q2,UK,0.0,McDonald's London #7,London,JustEat,McDonald's,62,55-64,Female,Reserved,Delivery,70
Pricing,6139.7368,0.0,2024Q2,UK,0.0,McDonald's London #7,London,JustEat,McDonald's,62,55-64,Female,Reserved,Delivery,70
Ambience,0.0,7662.81677,2024Q2,IT,7662.81677,Subway Rome #68,Rome,UberEats,Subway,23,18-24,Female,Reserved,Delivery,71
Customer Service,0.0,7662.81677,2024Q2,IT,0.0,Subway Rome #68,Rome,UberEats,Subway,23,18-24,Female,Reserved,Delivery,71
Ambience,1079.13145,0.0,2024Q2,ES,1079.13145,Chipotle Madrid #99,Madrid,UberEats,Chipotle,42,35-45,Female,Reserved,Delivery,72
Pricing,1079.13145,0.0,2024Q2,ES,0.0,Chipotle Madrid #99,Madrid,UberEats,Chipotle,42,35-45,Female,Reserved,Delivery,72
Menu Variety,0.0,3911.07924,2024Q3,ES,3911.07924,Burger King Madrid #34,Madrid,Deliveroo,Burger King,29,25-34,Female,Reserved,Delivery,73
Pricing,6179.40432,0.0,2024Q3,UK,6179.40432,McDonald's London #34,London,UberEats,McDonald's,24,18-24,Male,Reserved,Delivery,74
Hygiene & Cleanliness,9606.10133,0.0,2024Q2,FR,9606.10133,McDonald's Paris #64,Paris,UberEats,McDonald's,55,55-64,Male,Reserved,Delivery,75
Location & Accessibility,5669.86419,0.0,2024Q3,DE,5669.86419,Chipotle Berlin #100,Berlin,RestaurantWebsite,Chipotle,25,25-34,Female,Walk-In,Eat In,76
Customer Service,5669.86419,0.0,2024Q3,DE,0.0,Chipotle Berlin #100,Berlin,RestaurantWebsite,Chipotle,25,25-34,Female,Walk-In,Eat In,76
